종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"191,000","1,500","0.79","10,060,550,500","3,301,226,046,000"
138930,BNK금융지주,"6,850","0","0.00","12,734,182,090","2,232,656,435,100"
001040,CJ,"82,700","200","0.24","4,386,524,800","2,412,937,734,600"
000120,CJ대한통운,"88,800","-900","1.00","5,164,829,800","2,025,736,147,200"
097950,CJ제일제당,"342,500","0","0.00","16,658,158,500","5,156,058,705,000"
005830,DB손해보험,"65,900","1,100","1.70","7,536,575,800","4,665,720,000,000"
000990,DB하이텍,"43,550","-550","1.25","13,140,308,700","1,933,558,507,400"
000210,DL,"60,600","-200","0.33","2,354,144,500","1,269,926,570,400"
375500,DL이앤씨,"35,400","-100","0.28","5,682,470,200","1,369,754,254,200"
383220,F&F,"134,500","3,000","2.28","37,418,762,000","5,152,301,587,500"
114090,GKL,"17,850","-1,450","7.51","26,827,440,450","1,104,123,709,500"
078930,GS,"43,750","600","1.39","6,630,257,400","4,065,047,787,500"
006360,GS건설,"22,900","-300","1.29","27,432,759,250","1,959,816,121,000"
007070,GS리테일,"27,450","-700","2.49","6,667,868,100","2,874,506,958,900"
294870,HDC현대산업개발,"10,650","150","1.43","1,798,354,700","701,913,064,500"
267250,HD현대,"57,300","800","1.42","9,638,847,100","4,526,303,770,500"
204320,HL만도,"43,850","400","0.92","11,020,576,200","2,059,069,712,000"
011200,HMM,"19,950","-400","1.97","24,119,166,700","9,756,337,945,200"
105560,KB금융,"56,500","100","0.18","102,981,547,408","23,102,684,342,000"
002380,KCC,"220,000","-1,500","0.68","5,393,513,000","1,955,023,620,000"
016380,KG스틸,"7,920","90","1.15","2,411,832,330","792,070,464,240"
030200,KT,"34,000","-300","0.87","35,558,937,150","8,877,801,472,000"
033780,KT&G,"90,600","-400","0.44","32,812,000,100","12,438,700,228,200"
003550,LG,"79,800","200","0.25","11,222,706,812","12,552,619,241,400"
034220,LG디스플레이,"12,900","-150","1.15","35,205,212,950","4,615,822,530,000"
051900,LG생활건강,"736,000","-32,000","4.17","66,046,799,000","11,494,992,992,000"
373220,LG에너지솔루션,"478,000","3,500","0.74","137,505,865,000","111,852,000,000,000"
032640,LG유플러스,"10,700","-50","0.47","12,189,093,750","4,671,741,562,700"
011070,LG이노텍,"277,500","-500","0.18","52,589,566,000","6,567,622,192,500"
066570,LG전자,"93,700","-1,100","1.16","45,702,305,200","15,333,800,171,800"
051910,LG화학,"637,000","3,000","0.47","96,807,155,000","44,967,322,491,000"
079550,LIG넥스원,"81,100","-200","0.25","23,654,874,000","1,784,200,000,000"
006260,LS,"70,700","2,000","2.91","10,859,845,800","2,276,540,000,000"
010120,LS ELECTRIC,"53,400","1,900","3.69","6,731,736,800","1,602,000,000,000"
001120,LX인터내셔널,"33,300","-250","0.75","7,845,331,050","1,290,708,000,000"
035420,NAVER,"194,000","-1,000","0.51","155,598,387,500","31,825,522,490,000"
005940,NH투자증권,"9,130","-50","0.54","4,359,487,460","3,028,109,858,730"
010060,OCI,"86,800","2,900","3.46","50,246,246,400","2,070,125,402,800"
178920,PI첨단소재,"30,950","-550","1.75","2,566,275,500","908,887,665,900"
005490,POSCO홀딩스,"291,000","-1,000","0.34","95,106,754,000","24,610,227,930,000"
010950,S-Oil,"81,800","-300","0.37","19,347,815,900","9,209,272,385,600"
034730,SK,"190,500","1,000","0.53","23,365,081,099","14,125,447,174,500"
011790,SKC,"93,000","-500","0.53","22,932,675,500","3,521,751,714,000"
001740,SK네트웍스,"3,900","10","0.26","2,141,578,585","967,931,823,300"
302440,SK바이오사이언스,"79,300","1,400","1.80","18,124,702,300","6,088,974,847,800"
326030,SK바이오팜,"74,100","-300","0.40","4,758,300,600","5,803,011,825,000"
402340,SK스퀘어,"35,950","350","0.98","11,366,320,600","5,085,759,177,450"
361610,SK아이이테크놀로지,"64,700","3,000","4.86","51,909,900,500","4,612,954,202,400"
096770,SK이노베이션,"157,000","3,500","2.28","57,079,186,000","14,517,093,548,000"
285130,SK케미칼,"80,900","1,500","1.89","7,465,918,600","1,395,831,044,700"
017670,SK텔레콤,"45,900","-600","1.29","61,682,881,702","10,044,441,309,600"
000660,SK하이닉스,"86,800","-500","0.57","265,514,341,800","63,190,605,282,000"
069260,TKG휴켐스,"20,050","50","0.25","1,360,974,250","819,615,689,400"
035250,강원랜드,"23,050","-250","1.07","14,695,028,237","4,931,328,525,000"
010130,고려아연,"550,000","3,000","0.55","29,817,562,000","10,924,736,900,000"
011780,금호석유,"144,000","0","0.00","9,167,069,000","4,221,260,928,000"
073240,금호타이어,"2,975","-25","0.83","584,107,730","854,599,353,825"
000270,기아,"63,900","-300","0.47","88,264,397,200","25,902,717,873,300"
024110,기업은행,"10,150","50","0.50","10,545,185,900","8,093,872,570,350"
251270,넷마블,"57,200","2,600","4.76","34,395,035,600","4,916,540,314,400"
006280,녹십자,"129,500","-1,500","1.15","2,359,629,000","1,513,406,671,000"
005250,녹십자홀딩스,"16,950","-100","0.59","674,179,900","797,128,159,500"
004370,농심,"347,000","2,000","0.58","6,216,543,500","2,110,676,774,000"
001680,대상,"21,200","-200","0.93","1,700,735,950","734,538,130,000"
047040,대우건설,"4,590","-25","0.54","6,726,612,955","1,907,707,908,420"
042660,대우조선해양,"19,450","200","1.04","5,583,511,700","2,086,803,512,050"
003090,대웅,"19,700","-150","0.76","664,462,050","1,145,397,006,000"
069620,대웅제약,"146,500","0","0.00","4,112,647,000","1,697,433,237,500"
006650,대한유화,"176,000","-4,000","2.22","15,161,287,000","1,144,000,000,000"
001440,대한전선,"1,585","20","1.28","12,230,462,540","1,972,489,719,265"
003490,대한항공,"23,600","-100","0.42","22,913,074,400","8,690,007,599,600"
192080,더블유게임즈,"49,250","1,800","3.79","5,301,003,450","904,944,223,500"
001230,동국제강,"13,050","100","0.77","5,177,072,700","1,245,397,217,850"
026960,동서,"19,800","-100","0.50","729,534,150","1,974,060,000,000"
006040,동원산업,"48,300","0","0.00","2,136,105,400","2,414,162,719,500"
014820,동원시스템즈,"40,300","50","0.12","521,861,300","1,168,348,664,600"
000150,두산,"89,400","800","0.90","8,183,425,800","1,477,230,849,000"
241560,두산밥캣,"35,150","0","0.00","7,181,482,850","3,523,758,184,900"
034020,두산에너빌리티,"16,900","500","3.05","127,568,986,450","10,787,405,757,700"
336260,두산퓨얼셀,"33,700","1,800","5.64","23,475,260,850","2,207,138,566,200"
032350,롯데관광개발,"13,550","-600","4.24","17,968,127,300","988,697,565,500"
023530,롯데쇼핑,"98,000","-900","0.91","4,246,359,200","2,772,297,990,000"
004000,롯데정밀화학,"55,900","-200","0.36","3,091,774,900","1,442,220,000,000"
280360,롯데제과,"117,000","500","0.43","611,128,000","1,103,845,158,000"
004990,롯데지주,"32,600","0","0.00","4,501,052,450","3,420,041,126,200"
