,단축코드,한글 종목약명,상장일
0,095570,AJ네트웍스,2015/08/21
1,006840,AK홀딩스,1999/08/11
2,282330,BGF리테일,2017/12/08
3,027410,BGF,2014/05/19
4,138930,BNK금융지주,2011/03/30
5,001465,BYC우,1989/09/05
6,001460,BYC,1975/06/02
7,001045,CJ우,1989/08/18
8,00104K,CJ4우(전환),2019/08/09
9,001040,CJ,1973/06/29
10,011155,CJ씨푸드1우,1990/01/13
11,011150,CJ씨푸드,1988/11/26
12,000590,CS홀딩스,1975/12/22
13,012030,DB,1993/01/06
14,016610,DB금융투자,1988/06/27
15,005830,DB손해보험,1973/06/28
16,000995,DB하이텍1우,2007/05/21
17,000990,DB하이텍,1975/12/12
18,139130,DGB금융지주,2011/06/07
19,001530,DI동일,1964/01/04
20,000215,DL우,1989/08/21
21,001880,DL건설,1977/12/22
22,000210,DL,1976/02/02
23,37550K,DL이앤씨우,2021/01/25
24,37550L,DL이앤씨2우(전환),2022/04/28
25,375500,DL이앤씨,2021/01/25
26,155660,DSR,2013/05/15
27,069730,DSR제강,2003/01/28
28,017940,E1,1997/08/27
29,365550,ESR켄달스퀘어리츠,2020/12/23
30,383220,F&F,2021/05/21
31,007700,F&F홀딩스,1984/10/04
32,078935,GS우,2004/08/05
33,006360,GS건설,1981/08/03
34,078930,GS,2004/08/05
35,012630,HDC,1996/10/16
36,294870,HDC현대산업개발,2018/06/12
37,097230,HJ중공업,2007/08/31
38,014790,HL D&I,1994/08/12
39,204320,HL만도,2014/10/06
40,060980,HL홀딩스,2010/05/19
41,003560,IHQ,1973/12/18
42,175330,JB금융지주,2013/07/18
43,234080,JW생명과학,2016/10/27
44,001065,JW중외제약우,1994/10/21
45,001067,JW중외제약2우B,1998/04/13
46,001060,JW중외제약,1976/06/14
47,096760,JW홀딩스,2007/07/31
48,105560,KB금융,2008/10/10
49,432320,KB스타리츠,2022/10/06
50,009070,KCTC,1978/09/29
51,016380,KG스틸,1986/02/03
52,001390,KG케미칼,1989/08/25
53,033180,KH 필룩스,2001/12/26
54,001940,KISCO홀딩스,1989/11/13
55,025000,KPX케미칼,1994/12/27
56,092230,KPX홀딩스,2006/10/12
57,000040,KR모터스,1976/05/25
58,093050,LF,2006/12/01
59,003555,LG우,1988/11/18
60,034220,LG디스플레이,2004/07/23
61,003550,LG,1970/02/13
62,051905,LG생활건강우,2001/04/25
63,051900,LG생활건강,2001/04/25
64,373220,LG에너지솔루션,2022/01/27
65,032640,LG유플러스,2008/04/21
66,011070,LG이노텍,2008/07/24
67,066575,LG전자우,2002/04/22
68,066570,LG전자,2002/04/22
69,051915,LG화학우,2001/04/25
70,051910,LG화학,2001/04/25
71,079550,LIG넥스원,2015/10/02
72,010120,LS ELECTRIC,1994/07/11
73,000680,LS네트웍스,1973/11/15
74,006260,LS,1977/06/30
75,108320,LX세미콘,2022/11/03
76,001120,LX인터내셔널,1976/01/30
77,023150,MH에탄올,1996/12/24
78,035420,NAVER,2008/11/28
79,181710,NHN,2013/08/29
80,338100,NH프라임리츠,2019/12/05
81,034310,NICE,2004/02/04
82,008260,NI스틸,1975/06/28
83,004255,NPC우,1990/01/15
84,004250,NPC,1969/09/08
85,010060,OCI,1985/07/09
86,010955,S-Oil우,1992/05/28
87,010950,S-Oil,1987/05/27
88,005090,SGC에너지,1993/01/06
89,001380,SG글로벌,1976/06/29
90,001770,SHD,1988/11/23
91,002360,SH에너지화학,1985/12/23
92,009160,SIMPAC,1989/07/29
93,123700,SJM,2010/05/31
94,025530,SJM홀딩스,1997/02/12
95,03473K,SK우,2015/08/17
96,011790,SKC,1997/07/18
97,018670,SK가스,1997/08/27
98,001745,SK네트웍스우,1989/12/21
99,001740,SK네트웍스,1977/06/30
100,210980,SK디앤디,2015/06/23
101,395400,SK리츠,2021/09/14
102,034730,SK,2009/11/11
103,402340,SK스퀘어,2021/11/29
104,361610,SK아이이테크놀로지,2021/05/11
105,096775,SK이노베이션우,2007/07/25
106,096770,SK이노베이션,2007/07/25
107,001515,SK증권우,1989/08/29
108,001510,SK증권,1986/09/20
109,28513K,SK케미칼우,2018/01/05
110,285130,SK케미칼,2018/01/05
111,017670,SK텔레콤,1989/11/07
112,003570,SNT다이내믹스,1976/07/08
113,064960,SNT모티브,2002/03/11
114,100840,SNT에너지,2008/02/22
115,036530,SNT홀딩스,2002/10/22
116,005610,SPC삼립,1975/05/02
117,011810,STX,1990/09/12
118,077970,STX엔진,2004/05/10
119,071970,STX중공업,2009/05/15
120,084870,TBH글로벌,2005/12/19
121,002710,TCC스틸,1984/12/21
122,024070,WISCOM,1996/11/22
123,000500,가온전선,1987/06/08
124,000860,강남제비스코,1975/11/12
125,035250,강원랜드,2003/09/04
126,011420,갤럭시아에스엠,1989/11/14
