,날짜,종가,시가,최고가,최저가,누적거래량,종목명
58,2022-01-03,78600,79400,79800,78200,13502112,삼성전자
57,2022-01-04,78700,78800,79200,78300,12427416,삼성전자
56,2022-01-05,77400,78800,79000,76400,25470640,삼성전자
55,2022-01-06,76900,76700,77600,76600,12931954,삼성전자
54,2022-01-07,78300,78100,78400,77400,15163757,삼성전자
53,2022-01-10,78000,78100,78100,77100,9947422,삼성전자
52,2022-01-11,78900,78400,79000,78000,13221123,삼성전자
51,2022-01-12,78900,79500,79600,78600,11000502,삼성전자
50,2022-01-13,77900,79300,79300,77900,13889401,삼성전자
49,2022-01-14,77300,77700,78100,77100,10096725,삼성전자
48,2022-01-17,77500,77600,77800,76900,8785122,삼성전자
47,2022-01-18,77000,77600,77800,76600,9592788,삼성전자
46,2022-01-19,76300,76500,76900,76100,10598290,삼성전자
45,2022-01-20,76500,76200,76700,75900,9708168,삼성전자
44,2022-01-21,75600,75800,75800,74700,15774888,삼성전자
43,2022-01-24,75100,75400,75800,74700,13691134,삼성전자
42,2022-01-25,74000,74800,75000,73200,17766704,삼성전자
41,2022-01-26,73300,73900,74400,73100,12976730,삼성전자
40,2022-01-27,71300,73800,74000,71300,22274776,삼성전자
39,2022-01-28,73300,71300,73700,71200,21367448,삼성전자
38,2022-02-03,73300,74900,74900,73300,17744720,삼성전자
37,2022-02-04,74000,74300,74600,73400,12730034,삼성전자
36,2022-02-07,73000,73500,73600,72400,14240838,삼성전자
35,2022-02-08,73500,73800,74200,73000,11736666,삼성전자
34,2022-02-09,74700,74300,74700,74000,9699122,삼성전자
33,2022-02-10,75400,75600,75800,74700,17746032,삼성전자
32,2022-02-11,74900,75000,75500,74600,12205407,삼성전자
31,2022-02-14,73700,74400,74500,73100,13993255,삼성전자
30,2022-02-15,73700,74100,74200,73100,9320365,삼성전자
29,2022-02-16,74800,74600,74900,74200,10767386,삼성전자
28,2022-02-17,75000,75000,75600,74500,13605382,삼성전자
27,2022-02-18,74300,74600,74800,73700,10122226,삼성전자
26,2022-02-21,74200,73200,74300,72600,10489717,삼성전자
25,2022-02-22,73400,73000,73400,72800,11692469,삼성전자
24,2022-02-23,73000,73800,73800,72800,10397964,삼성전자
23,2022-02-24,71500,72300,72300,71300,15759283,삼성전자
22,2022-02-25,71900,72100,72600,71900,13168484,삼성전자
21,2022-02-28,72100,71100,72100,71000,17781784,삼성전자
20,2022-03-02,71700,72300,72400,71500,12481430,삼성전자
19,2022-03-03,72900,72300,73100,72200,13232638,삼성전자
18,2022-03-04,71500,72700,72700,71200,13409634,삼성전자
17,2022-03-07,70100,70000,70600,69900,18617138,삼성전자
16,2022-03-08,69500,68800,70000,68700,15828269,삼성전자
15,2022-03-10,71200,70800,71200,70500,21159248,삼성전자
14,2022-03-11,70000,70500,70700,69700,15787655,삼성전자
13,2022-03-14,70200,70000,70200,69600,9040993,삼성전자
12,2022-03-15,69500,69800,70100,69500,10258562,삼성전자
11,2022-03-16,70400,70200,70500,69700,10175750,삼성전자
10,2022-03-17,71200,71200,71800,70900,17646316,삼성전자
9,2022-03-18,70700,70600,70900,70200,14410038,삼성전자
8,2022-03-21,69900,70900,71000,69900,11169002,삼성전자
7,2022-03-22,70300,69900,70500,69900,9402666,삼성전자
6,2022-03-23,70500,70600,71200,70300,12398025,삼성전자
5,2022-03-24,69800,69600,70300,69600,37943356,삼성전자
4,2022-03-25,69800,70100,70200,69600,12986010,삼성전자
3,2022-03-28,69700,69500,69900,69200,12619289,삼성전자
2,2022-03-29,70200,70000,70300,69800,13686208,삼성전자
1,2022-03-30,69900,70300,70500,69800,12670187,삼성전자
0,2022-03-31,69600,69900,70200,69600,12510366,삼성전자
61,2022-04-01,69100,69500,69500,69000,15916846,삼성전자
60,2022-04-04,69300,68900,69300,68600,11107905,삼성전자
59,2022-04-05,69200,69400,69600,69100,8467248,삼성전자
58,2022-04-06,68500,68600,68800,68500,15517308,삼성전자
57,2022-04-07,68000,68500,68500,68000,20683328,삼성전자
56,2022-04-08,67800,68100,68300,67700,15453191,삼성전자
55,2022-04-11,67900,67800,68100,67400,12263735,삼성전자
54,2022-04-12,67000,67600,67700,67000,13924389,삼성전자
53,2022-04-13,68700,67300,69000,67200,17378620,삼성전자
52,2022-04-14,67500,68700,68700,67500,16409494,삼성전자
51,2022-04-15,66600,67200,67300,66500,13176415,삼성전자
50,2022-04-18,66700,66500,67100,66100,10119203,삼성전자
49,2022-04-19,67300,67100,68000,67000,12959434,삼성전자
48,2022-04-20,67400,67000,67400,66500,16693293,삼성전자
47,2022-04-21,67700,67600,68300,67500,12847448,삼성전자
46,2022-04-22,67000,67200,67300,66700,11791478,삼성전자
45,2022-04-25,66300,66500,66700,66300,11016474,삼성전자
44,2022-04-26,66100,66400,66700,66100,12946923,삼성전자
43,2022-04-27,65000,65400,65500,64900,18122084,삼성전자
42,2022-04-28,64800,65400,65500,64500,16895528,삼성전자
41,2022-04-29,67400,65100,67600,65000,26190390,삼성전자
40,2022-05-02,67300,66600,67600,66500,14106184,삼성전자
39,2022-05-03,67500,67400,68400,67300,14168875,삼성전자
38,2022-05-04,67900,68000,68400,67500,11505248,삼성전자
37,2022-05-06,66500,67000,67100,66500,14356156,삼성전자
36,2022-05-09,66100,66300,66900,66100,11858736,삼성전자
35,2022-05-10,65700,65900,66300,65300,17235604,삼성전자
